CHOYP_CCDC146.1.1	23C-29C	-6.80617243580348	Q8IYE0	CC146_HUMAN	sp	Q8IYE0
CHOYP_LOC100748625.1.1	23C-29C	-3.2195789591241	Q9JIH2	NUP50_MOUSE	sp	Q9JIH2
CHOYP_LOC101174856.1.1	23C-29C	-3.18982228328846	Q9Y6R4	M3K4_HUMAN	sp	Q9Y6R4
CHOYP_LOC100372915.3.7	23C-29C	-3.07508366360735	Q0EEE2	PTHD3_MOUSE	sp	Q0EEE2
CHOYP_ANR31.1.1	23C-29C	-3.0736726268013	Q8N7Z5	ANR31_HUMAN	sp	Q8N7Z5
CHOYP_ATS6.3.3	23C-29C	-3.03711651497125	Q69Z28	ATS16_MOUSE	sp	Q69Z28
CHOYP_LOC101160066.1.1	23C-29C	-3.03050501411936	A2VE47	ADPGK_BOVIN	sp	A2VE47
CHOYP_FASN.3.4	23C-29C	-2.94709531008681	P12276	FAS_CHICK	sp	P12276
CHOYP_ISCW_ISCW021350.1.1	23C-29C	-2.92090243575093	Q01105	SET_HUMAN	sp	Q01105
CHOYP_IFIH1.10.14	23C-29C	-2.91179188330497	Q8R5F7	IFIH1_MOUSE	sp	Q8R5F7
CHOYP_FUCO2.1.1	23C-29C	-2.59484478922744	Q9BTY2	FUCO2_HUMAN	sp	Q9BTY2
CHOYP_AAEL_AAEL005639.1.1	23C-29C	-4.82102460514497	Q9BV94	EDEM2_HUMAN	sp	Q9BV94
CHOYP_BRAFLDRAFT_81509.1.1	23C-29C	-2.57643305584999	Q9BDK2	AIF1_BOVIN	sp	Q9BDK2
CHOYP_BRAFLDRAFT_87662.1.1	23C-29C	-2.57563982100564	P17560	RENBP_PIG	sp	P17560
CHOYP_ACTC.5.6	23C-29C	-2.54037778970385	Q964D9	ACTC_PLATR	sp	Q964D9
CHOYP_LOC100876012.1.1	23C-29C	2.01458152170622	Q16831	UPP1_HUMAN	sp	Q16831
CHOYP_PCKG.2.2	23C-29C	2.04701647871934	P29190	PCKG_HAECO	sp	P29190
CHOYP_UNC89.1.19	23C-29C	2.05672775005877	A8T6P4	MYRIP_DANRE	sp	A8T6P4
CHOYP_LOC100377195.1.2	23C-29C	2.06246173015148	P08472	M130_STRPU	sp	P08472
CHOYP_SCP.9.12	23C-29C	2.09030960098522	P02637	SCP_MIZYE	sp	P02637
CHOYP_BRAFLDRAFT_90098.2.4	23C-29C	2.10625800121722	Q32LQ4	BHMT1_DANRE	sp	Q32LQ4
CHOYP_BRAFLDRAFT_227287.1.1	23C-29C	2.14098269027781	Q498J9	MBLC1_XENLA	sp	Q498J9
CHOYP_TSP_03740.1.1	23C-29C	2.14664446629067	P24367	PPIB_CHICK	sp	P24367
CHOYP_PPA5.1.1	23C-29C	2.15478979421455	P09889	PPA5_PIG	sp	P09889
CHOYP_LOC100024935.1.1	23C-29C	2.19729620223811	Q95108	THIOM_BOVIN	sp	Q95108
CHOYP_LOC100371209.1.1	23C-29C	2.20514070038064	A5PLI4	LR2BP_DANRE	sp	A5PLI4
CHOYP_ARB_02478.1.1	23C-29C	2.21514423907501	D4B1Z7	A2478_ARTBC	sp	D4B1Z7
CHOYP_BRAFLDRAFT_76885.1.1	23C-29C	2.24122259135196	P86789	GIGA6_CRAGI	sp	P86789
CHOYP_NTF-2.1.1	23C-29C	2.24178840357547	Q21735	NTF2_CAEEL	sp	Q21735
CHOYP_JNK.1.1	23C-29C	2.24390831904083	P92208	JNK_DROME	sp	P92208
